Diện tích,Mặt tiền,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Đường vào,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
80 m²,4 m,13 tỷ,5 tầng,,,Sổ đỏ/ Sổ hồng,,,,,06/11/2023,21/11/2023,Tin thường,"Dự án The Sholi Bình Tân, Đường An Dương Vương, Phường An Lạc, Bình Tân, Hồ Chí Minh"
270 m²,,63 triệu/m²,,,,,,,,,05/11/2023,15/11/2023,Tin thường,"Dự án Akari City Nam Long, Đường Võ Văn Kiệt, Phường An Lạc, Bình Tân, Hồ Chí Minh"
308 m²,,"19,18 tỷ",,,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,04/11/2023,14/11/2023,Tin thường,"Dự án Akari City Nam Long, Quận Bình Tân, Hồ Chí Minh"
68 m²,,Thỏa thuận,5 tầng,4 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,Tây - Nam,Tây - Nam,,03/11/2023,13/11/2023,Tin thường,"Dự án The Sholi Bình Tân, Đường An Dương Vương, Phường An Lạc, Bình Tân, Hồ Chí Minh."
300 m²,,50 triệu/m²,,,,Sổ đỏ/ Sổ hồng,Không nội thất,,,,03/11/2023,13/11/2023,Tin thường,"Dự án The Privia, Đường An Dương Vương, Phường An Lạc, Bình Tân, Hồ Chí Minh"
80 m²,,Thỏa thuận,5 tầng,,,Sổ đỏ/ Sổ hồng,,,,,01/11/2023,16/11/2023,Tin thường,"Dự án The Sholi Bình Tân, Đường An Dương Vương, Phường An Lạc, Bình Tân, Hồ Chí Minh"
64 m²,,Thỏa thuận,5 tầng,,,Sổ đỏ/ Sổ hồng,Không nội thất,,,,01/11/2023,11/11/2023,Tin thường,"Dự án The Sholi Bình Tân, Đường An Dương Vương, Phường An Lạc, Bình Tân, Hồ Chí Minh"
68 m²,,Thỏa thuận,5 tầng,4 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,Tây - Nam,Tây - Nam,,03/11/2023,13/11/2023,Tin thường,"Dự án The Sholi Bình Tân, Đường An Dương Vương, Phường An Lạc, Bình Tân, Hồ Chí Minh."
55 m²,,"3,6 tỷ",,,1 phòng,Đang chờ sổ,,,,,31/10/2023,15/11/2023,Tin thường,"Imperial Place, 633, Đường Kinh Dương Vương, Phường An Lạc, Bình Tân, Hồ Chí Minh"
127 m²,,"4,7 tỷ",2 tầng,2 phòng,2 phòng,Hợp đồng mua bán,Giao nhà thô.,Đông - Nam,Đông - Nam,,30/10/2023,09/11/2023,Tin thường,"Dự án Moonlight Boulevard, Đường Kinh Dương Vương, Phường An Lạc A, Bình Tân, Hồ Chí Minh"
200 m²,,12 tỷ,,3 phòng,3 phòng,Hợp đồng mua bán,Cơ bản,Đông - Nam,Tây - Bắc,,29/10/2023,08/11/2023,Tin thường,"Dự án Akari City Nam Long, Đường Võ Văn Kiệt, Phường An Lạc, Bình Tân, Hồ Chí Minh."
100 m²,,4 tỷ,,2 phòng,2 phòng,Hợp đồng mua bán,,,,,29/10/2023,08/11/2023,Tin thường,"Dự án Moonlight Boulevard, Đường Kinh Dương Vương, Phường An Lạc A, Bình Tân, Hồ Chí Minh"
200 m²,,"12,6 tỷ",,,2 phòng,Hợp đồng mua bán,Cơ bản,Đông - Nam,Đông - Nam,50 m,28/10/2023,07/11/2023,Tin thường,"Akari City Nam Long, 77, Đường Võ Văn Kiệt, Phường An Lạc, Bình Tân, Hồ Chí Minh"
"64,3 m²",,"12,3 tỷ",,,,"Pháp lý hoàn thiện, Sổ riêng, Giấy phép XD riêng, sở hữu lâu dài, xem trực tiếp tại Văn phòng","Bàn giao: Hoàn thiện ngoài, thô bên trong kèm sổ tay HDSD Bàn giao: Hoàn thiện ngoài, thô bên trong kèm sổ tay HDSD.",,,,09/10/2023,08/11/2023,Tin thường,"Dự án The Sholi Bình Tân, Đường An Dương Vương, Phường An Lạc, Bình Tân, Hồ Chí Minh"
217 m²,,"14,29 tỷ",,,,,,,,,27/10/2023,06/11/2023,Tin thường,"Dự án Akari City Nam Long, Đường Võ Văn Kiệt, Phường An Lạc, Bình Tân, Hồ Chí Minh"
200 m²,,12 tỷ,,,,,,,,,26/10/2023,05/11/2023,Tin thường,"Dự án Akari City Nam Long, Đường Võ Văn Kiệt, Phường An Lạc, Bình Tân, Hồ Chí Minh"
182 m²,,"12,3 tỷ",,,,,"Hoàn thiện bên ngoài, thô bên trong.",,,,21/10/2023,31/10/2023,Tin thường,"Dự án Akari City Nam Long, Đường Võ Văn Kiệt, Phường An Lạc, Bình Tân, Hồ Chí Minh"
308 m²,,19 tỷ,,,,Hợp đồng mua bán,Cơ bản,,,,19/10/2023,29/10/2023,Tin thường,"Dự án Akari City Nam Long, Đường Võ Văn Kiệt, Phường An Lạc, Bình Tân, Hồ Chí Minh"
64 m²,,"12,8 tỷ",,,,Sổ đỏ/ Sổ hồng,Không nội thất,,,,24/10/2023,03/11/2023,Tin thường,"Dự án The Sholi Bình Tân, Đường An Dương Vương, Phường An Lạc, Bình Tân, Hồ Chí Minh"
308 m²,,"19,18 tỷ",,,,,,,,,24/10/2023,03/11/2023,Tin thường,"Dự án Akari City Nam Long, Đường Võ Văn Kiệt, Phường An Lạc, Bình Tân, Hồ Chí Minh"
"63,2 m²",,"3,7 tỷ",,2 phòng,2 phòng,Hợp đồng mua bán,,,,,23/10/2023,02/11/2023,Tin thường,"Dự án Green Town Bình Tân, Đường Số 10, Phường Bình Hưng Hòa B, Bình Tân, Hồ Chí Minh"
